"ID","percent_cope","feedback","condition","ROI"
"f01",0.4693,"VS","G","mIPS"
"f01",0.5091,"VS","G","Cerebellum (Crus I)"
"f01",1.145,"VS","G","S1"
"f01",0.7276,"VS","G","aIPS"
"f01",0.6263,"VS","G","Cerebellum (I-IV)"
"f01",1.298,"VS","G","PMv"
"f01",0.679,"VS","G","Cerebellum (VIIIb)"
"f01",0.9716,"VS","G","Cerebellum (Crus I/II)"
"f01",0.6738,"VS","G","Cerebellum (VIIIa)"
"f01",0.8764,"VS","G","Cerebellum (Crus I/II)"
"f01",0.7775,"VS","G","Cerebellum (VIIIb)"
"f01",1.031,"VS","G","S1"
"f01",0.6845,"VS","G","POJ"
"f01",0.4775,"VS","G","PMd"
"f01",1.38,"VS","G","Cerebellum (VIIIa)"
"f01",1.334,"VS","G","S1/M1/PMd"
"f01",1.252,"VS","G","Cerebellum (Crus I)"
"f01",1.041,"VS","G","PMd"
"f01",0.972,"VS","G","IPS/SPC"
"f02",0.1268,"VS","G","mIPS"
"f02",-0.2992,"VS","G","Cerebellum (Crus I)"
"f02",0.2661,"VS","G","S1"
"f02",0.3688,"VS","G","aIPS"
"f02",0.4786,"VS","G","Cerebellum (I-IV)"
"f02",0.7114,"VS","G","PMv"
"f02",0.3655,"VS","G","Cerebellum (VIIIb)"
"f02",0.4407,"VS","G","Cerebellum (Crus I/II)"
"f02",0.3984,"VS","G","Cerebellum (VIIIa)"
"f02",0.06168,"VS","G","Cerebellum (Crus I/II)"
"f02",1.504,"VS","G","Cerebellum (VIIIb)"
"f02",0.665,"VS","G","S1"
"f02",0.8351,"VS","G","POJ"
"f02",0.674,"VS","G","PMd"
"f02",0.7549,"VS","G","Cerebellum (VIIIa)"
"f02",1.281,"VS","G","S1/M1/PMd"
"f02",1.088,"VS","G","Cerebellum (Crus I)"
"f02",0.4002,"VS","G","PMd"
"f02",0.9434,"VS","G","IPS/SPC"
"f03",0.2759,"VS","G","mIPS"
"f03",0.1283,"VS","G","Cerebellum (Crus I)"
"f03",0.9337,"VS","G","S1"
"f03",0.295,"VS","G","aIPS"
"f03",0.117,"VS","G","Cerebellum (I-IV)"
"f03",0.5231,"VS","G","PMv"
"f03",-0.1129,"VS","G","Cerebellum (VIIIb)"
"f03",0.3427,"VS","G","Cerebellum (Crus I/II)"
"f03",0.01111,"VS","G","Cerebellum (VIIIa)"
"f03",0.1551,"VS","G","Cerebellum (Crus I/II)"
"f03",0.9289,"VS","G","Cerebellum (VIIIb)"
"f03",0.5009,"VS","G","S1"
"f03",0.2298,"VS","G","POJ"
"f03",0.06807,"VS","G","PMd"
"f03",0.7508,"VS","G","Cerebellum (VIIIa)"
"f03",0.686,"VS","G","S1/M1/PMd"
"f03",0.633,"VS","G","Cerebellum (Crus I)"
"f03",0.2034,"VS","G","PMd"
"f03",0.2109,"VS","G","IPS/SPC"
"f04",0.2373,"VS","G","mIPS"
"f04",-0.07002,"VS","G","Cerebellum (Crus I)"
"f04",1.261,"VS","G","S1"
"f04",1.057,"VS","G","aIPS"
"f04",0.3537,"VS","G","Cerebellum (I-IV)"
"f04",0.2701,"VS","G","PMv"
"f04",0.5724,"VS","G","Cerebellum (VIIIb)"
"f04",0.6076,"VS","G","Cerebellum (Crus I/II)"
"f04",0.4032,"VS","G","Cerebellum (VIIIa)"
"f04",0.4063,"VS","G","Cerebellum (Crus I/II)"
"f04",1.267,"VS","G","Cerebellum (VIIIb)"
"f04",0.8995,"VS","G","S1"
"f04",1.172,"VS","G","POJ"
"f04",-0.05396,"VS","G","PMd"
"f04",0.8265,"VS","G","Cerebellum (VIIIa)"
"f04",0.7935,"VS","G","S1/M1/PMd"
"f04",0.4732,"VS","G","Cerebellum (Crus I)"
"f04",0.1274,"VS","G","PMd"
"f04",0.6193,"VS","G","IPS/SPC"
"f05",-0.2841,"VS","G","mIPS"
"f05",0.03849,"VS","G","Cerebellum (Crus I)"
"f05",0.1721,"VS","G","S1"
"f05",0.05988,"VS","G","aIPS"
"f05",0.3352,"VS","G","Cerebellum (I-IV)"
"f05",0.4253,"VS","G","PMv"
"f05",0.3357,"VS","G","Cerebellum (VIIIb)"
"f05",0.323,"VS","G","Cerebellum (Crus I/II)"
"f05",0.05771,"VS","G","Cerebellum (VIIIa)"
"f05",0.06791,"VS","G","Cerebellum (Crus I/II)"
"f05",1.645,"VS","G","Cerebellum (VIIIb)"
"f05",0.09479,"VS","G","S1"
"f05",0.5404,"VS","G","POJ"
"f05",0.3635,"VS","G","PMd"
"f05",0.5801,"VS","G","Cerebellum (VIIIa)"
"f05",0.7077,"VS","G","S1/M1/PMd"
"f05",0.7265,"VS","G","Cerebellum (Crus I)"
"f05",-0.1878,"VS","G","PMd"
"f05",0.3585,"VS","G","IPS/SPC"
"f07",0.1377,"VS","G","mIPS"
"f07",0.1727,"VS","G","Cerebellum (Crus I)"
"f07",0.3064,"VS","G","S1"
"f07",0.3677,"VS","G","aIPS"
"f07",0.339,"VS","G","Cerebellum (I-IV)"
"f07",0.2682,"VS","G","PMv"
"f07",0.3943,"VS","G","Cerebellum (VIIIb)"
"f07",0.3123,"VS","G","Cerebellum (Crus I/II)"
"f07",0.6095,"VS","G","Cerebellum (VIIIa)"
"f07",0.3737,"VS","G","Cerebellum (Crus I/II)"
"f07",2.232,"VS","G","Cerebellum (VIIIb)"
"f07",0.7157,"VS","G","S1"
"f07",0.3419,"VS","G","POJ"
"f07",0.2417,"VS","G","PMd"
"f07",1.269,"VS","G","Cerebellum (VIIIa)"
"f07",0.7713,"VS","G","S1/M1/PMd"
"f07",0.5553,"VS","G","Cerebellum (Crus I)"
"f07",0.1353,"VS","G","PMd"
"f07",0.4182,"VS","G","IPS/SPC"
"f08",0.4509,"VS","G","mIPS"
"f08",-0.08136,"VS","G","Cerebellum (Crus I)"
"f08",0.8133,"VS","G","S1"
"f08",1.222,"VS","G","aIPS"
"f08",0.8807,"VS","G","Cerebellum (I-IV)"
"f08",1.327,"VS","G","PMv"
"f08",1.561,"VS","G","Cerebellum (VIIIb)"
"f08",1.309,"VS","G","Cerebellum (Crus I/II)"
"f08",0.7219,"VS","G","Cerebellum (VIIIa)"
"f08",0.5734,"VS","G","Cerebellum (Crus I/II)"
"f08",1.911,"VS","G","Cerebellum (VIIIb)"
"f08",1.334,"VS","G","S1"
"f08",1.323,"VS","G","POJ"
"f08",0.1908,"VS","G","PMd"
"f08",0.7349,"VS","G","Cerebellum (VIIIa)"
"f08",1.258,"VS","G","S1/M1/PMd"
"f08",1.401,"VS","G","Cerebellum (Crus I)"
"f08",0.4264,"VS","G","PMd"
"f08",0.9766,"VS","G","IPS/SPC"
"f09",0.5445,"VS","G","mIPS"
"f09",-0.02835,"VS","G","Cerebellum (Crus I)"
"f09",0.7192,"VS","G","S1"
"f09",0.5992,"VS","G","aIPS"
"f09",0.4136,"VS","G","Cerebellum (I-IV)"
"f09",0.7825,"VS","G","PMv"
"f09",0.3425,"VS","G","Cerebellum (VIIIb)"
"f09",0.3624,"VS","G","Cerebellum (Crus I/II)"
"f09",0.2718,"VS","G","Cerebellum (VIIIa)"
"f09",0.1383,"VS","G","Cerebellum (Crus I/II)"
"f09",1.228,"VS","G","Cerebellum (VIIIb)"
"f09",0.9046,"VS","G","S1"
"f09",1.273,"VS","G","POJ"
"f09",0.8193,"VS","G","PMd"
"f09",0.9905,"VS","G","Cerebellum (VIIIa)"
